"id","expname","subject","ip","condnum","choice","submitted","round","event","roword","colord","evttype","boxname","boxin","boxtime","counter","addvar","adddata","relcount","maxcount","f_b1","f_b0","f_a1","f_a0","t_b1","t_b0","t_a1","t_a0"
"1","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","b1","12997","123","1","","","0.11111111111111","9","1","0","0","0","123","0","0","0"
"1","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","b0","13120","139","2","","","0.22222222222222","9","0","1","0","0","0","139","0","0"
"1","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","a1","13345","124","3","","","0.33333333333333","9","0","0","1","0","0","0","124","0"
"1","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","a1","13626","147","4","","","0.44444444444444","9","0","0","1","0","0","0","147","0"
"1","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","a0","13773","396","5","","","0.55555555555556","9","0","0","0","1","0","0","0","396"
"1","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","a1","14169","245","6","","","0.66666666666667","9","0","0","1","0","0","0","245","0"
"1","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","b1","14414","270","7","","","0.77777777777778","9","1","0","0","0","270","0","0","0"
"1","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","b0","14684","225","8","","","0.88888888888889","9","0","1","0","0","0","225","0","0"
"1","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","a1","14969","142","9","","","1","9","0","0","1","0","0","0","142","0"
"7","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","a1","406","191","1","","","0.14285714285714","7","0","0","1","0","0","0","191","0"
"7","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","a1","912","607","2","","","0.28571428571429","7","0","0","1","0","0","0","607","0"
"7","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","a0","1520","617","3","","","0.42857142857143","7","0","0","0","1","0","0","0","617"
"7","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","b0","2138","574","4","","","0.57142857142857","7","0","1","0","0","0","574","0","0"
"7","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","b1","2712","506","5","","","0.71428571428571","7","1","0","0","0","506","0","0","0"
"7","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","b0","3218","573","6","","","0.85714285714286","7","0","1","0","0","0","573","0","0"
"7","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","b1","3791","260","7","","","1","7","1","0","0","0","260","0","0","0"
"8","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","a1","723","267","1","","","0.5","2","0","0","1","0","0","0","267","0"
"8","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","b0","1023","233","2","","","1","2","0","1","0","0","0","233","0","0"
"9","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","b1","962","266","1","","","0.25","4","1","0","0","0","266","0","0","0"
"9","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","a0","1318","181","2","","","0.5","4","0","0","0","1","0","0","0","181"
"9","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","a1","1499","212","3","","","0.75","4","0","0","1","0","0","0","212","0"
"9","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","b1","1757","157","4","","","1","4","1","0","0","0","157","0","0","0"
"10","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","a1","439","157","1","","","0.2","5","0","0","1","0","0","0","157","0"
"10","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","a0","798","101","2","","","0.4","5","0","0","0","1","0","0","0","101"
"10","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","b0","899","106","3","","","0.6","5","0","1","0","0","0","106","0","0"
"10","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","a1","1102","116","4","","","0.8","5","0","0","1","0","0","0","116","0"
"10","condition_1","586","","","","2021-02-25 11:07:22","1","mouseout","0_1","0_1","0_0","b1","1339","227","5","","","1","5","1","0","0","0","227","0","0","0"
"11","condition_1","588","","","","2021-02-08 19:28:00","1","mouseout","0_1","0_1","0_0","a0","671","651","1","","","0.071428571428571","14","0","0","0","1","0","0","0","651"
"11","condition_1","588","","","","2021-02-08 19:28:00","1","mouseout","0_1","0_1","0_0","a1","1322","818","2","","","0.14285714285714","14","0","0","1","0","0","0","818","0"
"11","condition_1","588","","","","2021-02-08 19:28:00","1","mouseout","0_1","0_1","0_0","b0","2172","655","3","","","0.21428571428571","14","0","1","0","0","0","655","0","0"
"11","condition_1","588","","","","2021-02-08 19:28:00","1","mouseout","0_1","0_1","0_0","b1","2827","950","4","","","0.28571428571429","14","1","0","0","0","950","0","0","0"
"11","condition_1","588","","","","2021-02-08 19:28:00","1","mouseout","0_1","0_1","0_0","a1","3777","711","5","","","0.35714285714286","14","0","0","1","0","0","0","711","0"
"11","condition_1","588","","","","2021-02-08 19:28:00","1","mouseout","0_1","0_1","0_0","a0","4494","520","6","","","0.42857142857143","14","0","0","0","1","0","0","0","520"
"11","condition_1","588","","","","2021-02-08 19:28:00","1","mouseout","0_1","0_1","0_0","a0","6950","367","7","","","0.5","14","0","0","0","1","0","0","0","367"
"11","condition_1","588","","","","2021-02-08 19:28:00","1","mouseout","0_1","0_1","0_0","a1","7324","256","8","","","0.57142857142857","14","0","0","1","0","0","0","256","0"
"11","condition_1","588","","","","2021-02-08 19:28:00","1","mouseout","0_1","0_1","0_0","b1","7580","240","9","","","0.64285714285714","14","1","0","0","0","240","0","0","0"
"11","condition_1","588","","","","2021-02-08 19:28:00","1","mouseout","0_1","0_1","0_0","a1","9336","313","10","","","0.71428571428571","14","0","0","1","0","0","0","313","0"
"11","condition_1","588","","","","2021-02-08 19:28:00","1","mouseout","0_1","0_1","0_0","a0","9656","2736","11","","","0.78571428571429","14","0","0","0","1","0","0","0","2736"
"11","condition_1","588","","","","2021-02-08 19:28:00","1","mouseout","0_1","0_1","0_0","a1","12392","439","12","","","0.85714285714286","14","0","0","1","0","0","0","439","0"
"11","condition_1","588","","","","2021-02-08 19:28:00","1","mouseout","0_1","0_1","0_0","b1","12831","352","13","","","0.92857142857143","14","1","0","0","0","352","0","0","0"
"11","condition_1","588","","","","2021-02-08 19:28:00","1","mouseout","0_1","0_1","0_0","b0","13183","175","14","","","1","14","0","1","0","0","0","175","0","0"
"12","condition_1","586","","","","2021-02-10 18:32:49","2","mouseout","0_1","0_1","0_0","a0","1132","660","1","","","0.076923076923077","13","0","0","0","1","0","0","0","660"
"12","condition_1","586","","","","2021-02-10 18:32:49","2","mouseout","0_1","0_1","0_0","a1","1792","776","2","","","0.15384615384615","13","0","0","1","0","0","0","776","0"
"12","condition_1","586","","","","2021-02-10 18:32:49","2","mouseout","0_1","0_1","0_0","b1","2569","584","3","","","0.23076923076923","13","1","0","0","0","584","0","0","0"
"12","condition_1","586","","","","2021-02-10 18:32:49","2","mouseout","0_1","0_1","0_0","b0","3166","550","4","","","0.30769230769231","13","0","1","0","0","0","550","0","0"
