"id","expname","subject","ip","condnum","choice","submitted","round","roword","colord","div","addvar","adddata","maxcount","f_b1","f_b0","f_a1","f_a0","t_b1","t_b0","t_a1","t_a0"
"1","condition_1","586","","","","2021-02-25 11:07:22","1","0_1","0_1","1","","","9","2","2","4","1","393","364","658","396"
"7","condition_1","586","","","","2021-02-25 11:07:22","1","0_1","0_1","1","","","7","2","2","2","1","766","1147","798","617"
"8","condition_1","586","","","","2021-02-25 11:07:22","1","0_1","0_1","1","","","2","0","1","1","0","0","233","267","0"
"9","condition_1","586","","","","2021-02-25 11:07:22","1","0_1","0_1","1","","","4","2","0","1","1","423","0","212","181"
"10","condition_1","586","","","","2021-02-25 11:07:22","1","0_1","0_1","1","","","5","1","1","2","1","227","106","273","101"
"11","condition_1","588","","","","2021-02-08 19:28:00","1","0_1","0_1","1","","","14","3","2","5","4","1542","830","2537","4274"
"12","condition_1","586","","","","2021-02-10 18:32:49","2","0_1","0_1","1","","","13","3","2","5","3","2084","1326","5116","2447"
"13","condition_1","589","","","","2021-02-17 16:38:34","1","0_1","0_1","1","","","16","5","4","4","3","4890","4387","2073","2385"
"14","condition_1","589","","","","2021-02-17 16:39:41","2","0_1","0_1","1","","","11","2","3","2","4","640","3218","1332","2518"
"15","condition_1","589","","","","2021-02-17 16:42:57","3","0_1","0_1","1","","","12","3","2","4","3","2051","3259","1735","1302"
"16","condition_1","590","","","","2021-02-18 14:29:18","1","0_1","0_1","1","","","11","3","3","2","3","1462","1332","554","695"
"17","condition_1","586","","","","2021-02-25 11:07:22","1","0_1","0_1","1","","","6","2","1","2","1","439","390","427","384"
"18","condition_1","591","","","","2021-02-18 14:49:02","1","0_1","0_1","1","","","12","2","4","3","3","776","1880","1379","1958"
"19","condition_1","591","","","","2021-02-18 14:49:02","1","0_1","0_1","1","","","5","1","1","2","1","720","346","439","494"
"30","condition_1","586","","","","2021-02-25 11:07:22","1","0_1","0_1","1","","","4","1","1","1","1","449","573","786","426"
"31","condition_1","586","","","","2021-02-25 11:07:22","1","0_1","0_1","1","","","4","1","1","1","1","449","573","786","426"
"32","condition_1","586","","","","2021-02-25 11:07:22","1","0_1","0_1","1","","","4","1","1","1","1","449","573","786","426"
"34","condition_1","586","","","","2021-02-25 11:07:22","1","0_1","0_1","1","","","9","3","2","3","1","2543","968","1405","299"
"36","condition_1","592","","","","2021-03-04 09:50:26","1","0_1","0_1","1","","","6","1","1","2","2","428","247","326","291"
