"id","expname","subject","ip","condnum","choice","submitted","round","event","roword","colord","evttype","boxname","boxin","boxtime","counter","addvar","adddata","relcount","maxcount","f_box","f_b0","f_b1","f_a1","f_a0","t_box","t_b0","t_b1","t_a1","t_a0"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","0_1_2","0_1","0_0","box","575","583","1","null","null","0.14285714285714","7","1","0","0","0","0","583","0","0","0","0"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","0_1_2","0_1","0_0","a1","1509","283","2","null","null","0.28571428571429","7","0","0","0","1","0","0","0","0","283","0"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","0_1_2","0_1","0_0","box","2126","601","3","null","null","0.42857142857143","7","1","0","0","0","0","601","0","0","0","0"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","0_1_2","0_1","0_0","box","6682","449","4","null","null","0.57142857142857","7","1","0","0","0","0","449","0","0","0","0"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","0_1_2","0_1","0_0","b1","7231","183","5","null","null","0.71428571428571","7","0","0","1","0","0","0","0","183","0","0"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","0_1_2","0_1","0_0","b0","7414","133","6","null","null","0.85714285714286","7","0","1","0","0","0","0","133","0","0","0"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","mouseout","0_1_2","0_1","0_0","box","8056","250","7","null","null","1","7","1","0","0","0","0","250","0","0","0","0"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","0_1_2","0_1","0_0","a0","262","183","1","null","null","0.16666666666667","6","0","0","0","0","1","0","0","0","0","183"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","0_1_2","0_1","0_0","a1","445","184","2","null","null","0.33333333333333","6","0","0","0","1","0","0","0","0","184","0"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","0_1_2","0_1","0_0","a1","728","134","3","null","null","0.5","6","0","0","0","1","0","0","0","0","134","0"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","0_1_2","0_1","0_0","box","1232","465","4","null","null","0.66666666666667","6","1","0","0","0","0","465","0","0","0","0"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","0_1_2","0_1","0_0","b0","1946","384","5","null","null","0.83333333333333","6","0","1","0","0","0","0","384","0","0","0"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","mouseout","0_1_2","0_1","0_0","box","2331","317","6","null","null","1","6","1","0","0","0","0","317","0","0","0","0"
"52","condition_2","9","::1","2","","2020-11-12 19:13:34","3","mouseout","0_1_2","0_1","0_0","b0","731","300","1","null","null","0.125","8","0","1","0","0","0","0","300","0","0","0"
"52","condition_2","9","::1","2","","2020-11-12 19:13:34","3","mouseout","0_1_2","0_1","0_0","a1","1032","149","2","null","null","0.25","8","0","0","0","1","0","0","0","0","149","0"
"52","condition_2","9","::1","2","","2020-11-12 19:13:34","3","mouseout","0_1_2","0_1","0_0","b0","1298","116","3","null","null","0.375","8","0","1","0","0","0","0","116","0","0","0"
"52","condition_2","9","::1","2","","2020-11-12 19:13:34","3","mouseout","0_1_2","0_1","0_0","a1","1415","116","4","null","null","0.5","8","0","0","0","1","0","0","0","0","116","0"
"52","condition_2","9","::1","2","","2020-11-12 19:13:34","3","mouseout","0_1_2","0_1","0_0","a1","2232","133","5","null","null","0.625","8","0","0","0","1","0","0","0","0","133","0"
"52","condition_2","9","::1","2","","2020-11-12 19:13:34","3","mouseout","0_1_2","0_1","0_0","a1","2616","150","6","null","null","0.75","8","0","0","0","1","0","0","0","0","150","0"
"52","condition_2","9","::1","2","","2020-11-12 19:13:34","3","mouseout","0_1_2","0_1","0_0","b1","2816","101","7","null","null","0.875","8","0","0","1","0","0","0","0","101","0","0"
