"id","expname","subject","ip","condnum","choice","submitted","round","roword","colord","div","addvar","adddata","maxcount","f_box","f_b0","f_b1","f_a1","f_a0","t_box","t_b0","t_b1","t_a1","t_a0"
"50","condition_2","9","::1","2","","2020-11-12 19:13:21","1","0_1_2","0_1","1","null","null","7","4","1","1","1","0","1883","133","183","283","0"
"51","condition_2","9","::1","2","","2020-11-12 19:13:27","2","0_1_2","0_1","1","null","null","6","2","1","0","2","1","782","384","0","318","183"
"52","condition_2","9","::1","2","","2020-11-12 19:13:34","3","0_1_2","0_1","1","null","null","8","1","2","1","4","0","334","416","101","548","0"
"53","condition_2","9","::1","2","","2020-11-12 19:13:44","4","0_1_2","0_1","1","null","null","6","3","1","0","1","1","2241","450","0","166","133"
"54","condition_2","9","::1","2","","2020-11-12 19:17:16","1","0_1_2","0_1","1","null","null","6","4","1","1","0","0","2534","349","501","0","0"
"55","condition_2","9","::1","2","","2020-11-12 19:17:21","2","0_1_2","0_1","1","null","null","3","1","0","1","0","1","516","0","217","0","150"
"60","condition_2","21","::1","2","","2020-11-13 11:34:22","1","0_1_2","0_1","1","null","null","17","5","3","4","3","2","1798","549","792","534","398"
"81","condition_2","31","::1","2","","2020-11-15 23:21:50","1","0_1_2","0_1","1","null","null","3","1","0","0","1","1","425","0","0","116","234"
"82","condition_2","31","::1","2","","2020-11-15 23:21:55","2","0_1_2","0_1","1","null","null","3","1","0","1","1","0","278","0","118","102","0"
"95","condition_2","40","::1","2","","2020-11-16 21:06:05","1","0_1_2","0_1","1","null","null","13","2","4","3","2","2","2385","2585","1100","785","719"
"96","condition_2","40","::1","2","","2020-11-16 21:06:13","24","0_1_2","0_1","1","null","null","2","1","0","0","1","0","398","0","0","134","0"
"97","condition_2","41","::1","2","","2020-11-16 21:13:42","1","0_1_2","0_1","1","null","null","3","1","1","0","0","1","249","166","0","0","135"
"98","condition_2","41","::1","2","","2020-11-16 21:13:55","24","0_1_2","0_1","1","null","null","3","1","0","1","1","0","483","0","199","316","0"
"123","condition_2","46","::1","2","","2020-11-17 08:15:46","1","0_1_2","0_1","1","null","null","5","2","1","0","1","1","589","384","0","116","133"
