"id","expname","subject","ip","condnum","choice","submitted","round","event","name","value","time","addvar","adddata"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","onload","body","body","30","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","subject","random","0","32","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","order","col","0_1","32","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","order","row","0_1","32","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","events","open_close","0_0","32","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","a0","25% = 350 ECU","647","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","a0","","696","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","a1","1400 ECU","696","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","a1","","796","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","a0","25% = 350 ECU","796","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","a0","","913","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","b1","20%","913","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","b1","","1380","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","a1","1400 ECU","1396","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","a1","","1462","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","a0","25% = 350 ECU","1462","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","a0","","1763","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","a1","1400 ECU","1763","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","a1","","1780","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","b1","20%","1796","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","b1","","1946","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","b0","700 ECU","1946","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","b0","","2046","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","a0","25% = 350 ECU","2063","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","a0","","2112","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","a1","1400 ECU","2112","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","a1","","2180","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","b1","20%","2196","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","b1","","2312","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","b0","700 ECU","2313","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","b0","","2362","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","a0","25% = 350 ECU","2362","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","a0","","2463","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","a1","1400 ECU","2463","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","a1","","2512","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseover","b1","20%","2512","null","null"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","b1","","2630","null","null"
