"id","expname","subject","ip","condnum","choice","submitted","round","event","roword","colord","evttype","boxname","boxin","boxtime","counter","addvar","adddata","relcount","maxcount","f_a0","f_a1","f_b1","f_b0","t_a0","t_a1","t_b1","t_b0"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","0_1","0_1","0_0","a0","766","117","1","null","null","0.1","10","1","0","0","0","117","0","0","0"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","0_1","0_1","0_0","b1","883","467","2","null","null","0.2","10","0","0","1","0","0","0","467","0"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","0_1","0_1","0_0","a0","1432","301","3","null","null","0.3","10","1","0","0","0","301","0","0","0"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","0_1","0_1","0_0","b1","1766","150","4","null","null","0.4","10","0","0","1","0","0","0","150","0"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","0_1","0_1","0_0","b1","2166","116","5","null","null","0.5","10","0","0","1","0","0","0","116","0"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","0_1","0_1","0_0","a0","2332","101","6","null","null","0.6","10","1","0","0","0","101","0","0","0"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","0_1","0_1","0_0","b1","2482","118","7","null","null","0.7","10","0","0","1","0","0","0","118","0"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","0_1","0_1","0_0","b1","2832","451","8","null","null","0.8","10","0","0","1","0","0","0","451","0"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","0_1","0_1","0_0","a0","3383","116","9","null","null","0.9","10","1","0","0","0","116","0","0","0"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","mouseout","0_1","0_1","0_0","b1","3534","482","10","null","null","1","10","0","0","1","0","0","0","482","0"
"57","condition_3","13","::1","3","","2020-11-13 09:41:31","2","mouseout","0_1","0_1","0_0","b1","754","134","1","null","null","0.052631578947368","19","0","0","1","0","0","0","134","0"
"57","condition_3","13","::1","3","","2020-11-13 09:41:31","2","mouseout","0_1","0_1","0_0","b0","905","217","2","null","null","0.10526315789474","19","0","0","0","1","0","0","0","217"
"57","condition_3","13","::1","3","","2020-11-13 09:41:31","2","mouseout","0_1","0_1","0_0","a1","1205","117","3","null","null","0.15789473684211","19","0","1","0","0","0","117","0","0"
"57","condition_3","13","::1","3","","2020-11-13 09:41:31","2","mouseout","0_1","0_1","0_0","a0","1322","316","4","null","null","0.21052631578947","19","1","0","0","0","316","0","0","0"
"57","condition_3","13","::1","3","","2020-11-13 09:41:31","2","mouseout","0_1","0_1","0_0","b1","1705","199","5","null","null","0.26315789473684","19","0","0","1","0","0","0","199","0"
