"id","expname","subject","ip","condnum","choice","submitted","round","roword","colord","div","addvar","adddata","maxcount","f_a0","f_a1","f_b1","f_b0","t_a0","t_a1","t_b1","t_b0"
"56","condition_3","13","::1","3","","2020-11-13 09:41:22","1","0_1","0_1","1","null","null","10","4","0","6","0","635","0","1784","0"
"57","condition_3","13","::1","3","","2020-11-13 09:41:31","2","0_1","0_1","1","null","null","19","6","4","6","3","1199","716","1384","533"
"61","condition_3","9","::1","3","","2020-11-13 18:06:42","1","0_1","0_1","1","null","null","2","0","0","1","1","0","0","284","201"
"62","condition_3","9","::1","3","","2020-11-13 18:06:47","2","0_1","0_1","1","null","null","3","0","1","1","1","0","110","119","133"
"63","condition_3","9","::1","3","","2020-11-13 18:06:53","3","0_1","0_1","1","null","null","5","1","1","2","1","450","184","568","217"
"64","condition_3","9","::1","3","","2020-11-13 18:07:08","24","0_1","0_1","1","null","null","5","1","2","1","1","125","282","284","117"
"65","condition_3","9","::1","3","","2020-11-13 18:09:40","24","0_1","0_1","1","null","null","1","0","0","1","0","0","0","285","0"
"66","condition_3","25","::1","3","","2020-11-14 10:28:49","1","0_1","0_1","1","null","null","2","0","1","1","0","0","266","282","0"
"67","condition_3","25","::1","3","","2020-11-14 10:33:04","1","0_1","0_1","1","null","null","4","1","1","1","1","316","133","284","128"
"68","condition_3","25","::1","3","","2020-11-14 10:33:47","2","0_1","0_1","1","null","null","2","1","0","1","0","101","0","266","0"
"69","condition_3","27","::1","3","","2020-11-14 10:34:17","1","0_1","0_1","1","null","null","1","0","0","1","0","0","0","401","0"
"70","condition_3","27","::1","3","","2020-11-14 10:34:23","2","0_1","0_1","1","null","null","3","1","0","1","1","299","0","350","151"
"71","condition_3","27","::1","3","","2020-11-14 10:34:27","3","0_1","0_1","1","null","null","2","1","1","0","0","216","133","0","0"
"72","condition_3","27","::1","3","","2020-11-14 10:34:32","4","0_1","0_1","1","null","null","2","0","1","0","1","0","317","0","231"
"80","condition_3","30","::1","3","","2020-11-15 19:52:15","1","0_1","0_1","1","null","null","3","1","0","1","1","118","0","399","334"
