"id","expname","subject","ip","condnum","choice","submitted","round","event","roword","colord","evttype","boxname","boxin","boxtime","counter","addvar","adddata","relcount","maxcount","f_a0","f_b1","f_a1","f_b0","t_a0","t_b1","t_a1","t_b0"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","mouseout","0_1","0_1","0_0","a1","835","116","1","null","null","0.5","2","0","0","1","0","0","0","116","0"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","mouseout","0_1","0_1","0_0","b1","1068","483","2","null","null","1","2","0","1","0","0","0","483","0","0"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","mouseout","0_1","0_1","0_0","b0","962","110","1","null","null","1","1","0","0","0","1","0","0","0","110"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","mouseout","0_1","0_1","0_0","b0","6609","284","1","null","null","1","1","0","0","0","1","0","0","0","284"
"100","condition_4","43","::1","4","","2020-11-16 21:35:46","2","mouseout","0_1","0_1","0_0","a0","350","118","1","null","null","0.5","2","1","0","0","0","118","0","0","0"
"100","condition_4","43","::1","4","","2020-11-16 21:35:46","2","mouseout","0_1","0_1","0_0","b0","485","433","2","null","null","1","2","0","0","0","1","0","0","0","433"
"101","condition_4","43","::1","4","","2020-11-16 21:35:51","3","mouseout","0_1","0_1","0_0","b1","22","228","1","null","null","1","1","0","1","0","0","0","228","0","0"
"102","condition_4","43","::1","4","","2020-11-16 21:35:57","4","mouseout","0_1","0_1","0_0","b0","1553","217","1","null","null","1","1","0","0","0","1","0","0","0","217"
"103","condition_4","43","::1","4","","2020-11-16 21:36:01","5","mouseout","0_1","0_1","0_0","b0","272","133","1","null","null","1","1","0","0","0","1","0","0","0","133"
"104","condition_4","43","::1","4","","2020-11-16 21:36:06","6","mouseout","0_1","0_1","0_0","b0","614","268","1","null","null","0.5","2","0","0","0","1","0","0","0","268"
"104","condition_4","43","::1","4","","2020-11-16 21:36:06","6","mouseout","0_1","0_1","0_0","a0","882","149","2","null","null","1","2","1","0","0","0","149","0","0","0"
"105","condition_4","43","::1","4","","2020-11-16 21:36:11","7","mouseout","0_1","0_1","0_0","b1","10","183","1","null","null","0.33333333333333","3","0","1","0","0","0","183","0","0"
"105","condition_4","43","::1","4","","2020-11-16 21:36:11","7","mouseout","0_1","0_1","0_0","a0","276","167","2","null","null","0.66666666666667","3","1","0","0","0","167","0","0","0"
"105","condition_4","43","::1","4","","2020-11-16 21:36:11","7","mouseout","0_1","0_1","0_0","b1","493","150","3","null","null","1","3","0","1","0","0","0","150","0","0"
"106","condition_4","43","::1","4","","2020-11-16 21:36:16","8","mouseout","0_1","0_1","0_0","a0","604","141","1","null","null","0.25","4","1","0","0","0","141","0","0","0"
"106","condition_4","43","::1","4","","2020-11-16 21:36:16","8","mouseout","0_1","0_1","0_0","a1","862","132","2","null","null","0.5","4","0","0","1","0","0","0","132","0"
"106","condition_4","43","::1","4","","2020-11-16 21:36:16","8","mouseout","0_1","0_1","0_0","b1","1011","218","3","null","null","0.75","4","0","1","0","0","0","218","0","0"
"106","condition_4","43","::1","4","","2020-11-16 21:36:16","8","mouseout","0_1","0_1","0_0","b0","1512","251","4","null","null","1","4","0","0","0","1","0","0","0","251"
"107","condition_4","43","::1","4","","2020-11-16 21:36:25","9","mouseout","0_1","0_1","0_0","b0","3700","101","1","null","null","1","1","0","0","0","1","0","0","0","101"
"108","condition_4","43","::1","4","","2020-11-16 21:36:30","10","mouseout","0_1","0_1","0_0","b0","286","217","1","null","null","0.2","5","0","0","0","1","0","0","0","217"
"108","condition_4","43","::1","4","","2020-11-16 21:36:30","10","mouseout","0_1","0_1","0_0","a0","519","186","2","null","null","0.4","5","1","0","0","0","186","0","0","0"
"108","condition_4","43","::1","4","","2020-11-16 21:36:30","10","mouseout","0_1","0_1","0_0","a1","721","166","3","null","null","0.6","5","0","0","1","0","0","0","166","0"
"108","condition_4","43","::1","4","","2020-11-16 21:36:30","10","mouseout","0_1","0_1","0_0","b1","888","249","4","null","null","0.8","5","0","1","0","0","0","249","0","0"
"108","condition_4","43","::1","4","","2020-11-16 21:36:30","10","mouseout","0_1","0_1","0_0","b0","1137","168","5","null","null","1","5","0","0","0","1","0","0","0","168"
"109","condition_4","43","::1","4","","2020-11-16 21:36:41","11","mouseout","0_1","0_1","0_0","b0","5598","133","1","null","null","0.2","5","0","0","0","1","0","0","0","133"
"109","condition_4","43","::1","4","","2020-11-16 21:36:41","11","mouseout","0_1","0_1","0_0","a0","5781","434","2","null","null","0.4","5","1","0","0","0","434","0","0","0"
"109","condition_4","43","::1","4","","2020-11-16 21:36:41","11","mouseout","0_1","0_1","0_0","a1","6215","216","3","null","null","0.6","5","0","0","1","0","0","0","216","0"
"109","condition_4","43","::1","4","","2020-11-16 21:36:41","11","mouseout","0_1","0_1","0_0","b1","6431","267","4","null","null","0.8","5","0","1","0","0","0","267","0","0"
"109","condition_4","43","::1","4","","2020-11-16 21:36:41","11","mouseout","0_1","0_1","0_0","b0","6717","166","5","null","null","1","5","0","0","0","1","0","0","0","166"
"110","condition_4","43","::1","4","","2020-11-16 21:36:48","12","mouseout","0_1","0_1","0_0","b0","1274","113","1","null","null","0.16666666666667","6","0","0","0","1","0","0","0","113"
"110","condition_4","43","::1","4","","2020-11-16 21:36:48","12","mouseout","0_1","0_1","0_0","a0","1387","450","2","null","null","0.33333333333333","6","1","0","0","0","450","0","0","0"
"110","condition_4","43","::1","4","","2020-11-16 21:36:48","12","mouseout","0_1","0_1","0_0","a1","1871","367","3","null","null","0.5","6","0","0","1","0","0","0","367","0"
"110","condition_4","43","::1","4","","2020-11-16 21:36:48","12","mouseout","0_1","0_1","0_0","a0","2238","316","4","null","null","0.66666666666667","6","1","0","0","0","316","0","0","0"
"110","condition_4","43","::1","4","","2020-11-16 21:36:48","12","mouseout","0_1","0_1","0_0","a1","2571","167","5","null","null","0.83333333333333","6","0","0","1","0","0","0","167","0"
"110","condition_4","43","::1","4","","2020-11-16 21:36:48","12","mouseout","0_1","0_1","0_0","b1","2738","317","6","null","null","1","6","0","1","0","0","0","317","0","0"
"111","condition_4","43","::1","4","","2020-11-16 21:36:55","13","mouseout","0_1","0_1","0_0","b0","675","286","1","null","null","0.125","8","0","0","0","1","0","0","0","286"
"111","condition_4","43","::1","4","","2020-11-16 21:36:55","13","mouseout","0_1","0_1","0_0","a1","1042","201","2","null","null","0.25","8","0","0","1","0","0","0","201","0"
"111","condition_4","43","::1","4","","2020-11-16 21:36:55","13","mouseout","0_1","0_1","0_0","a0","1243","299","3","null","null","0.375","8","1","0","0","0","299","0","0","0"
"111","condition_4","43","::1","4","","2020-11-16 21:36:55","13","mouseout","0_1","0_1","0_0","a1","1559","284","4","null","null","0.5","8","0","0","1","0","0","0","284","0"
"111","condition_4","43","::1","4","","2020-11-16 21:36:55","13","mouseout","0_1","0_1","0_0","a0","1858","418","5","null","null","0.625","8","1","0","0","0","418","0","0","0"
"111","condition_4","43","::1","4","","2020-11-16 21:36:55","13","mouseout","0_1","0_1","0_0","b0","2276","268","6","null","null","0.75","8","0","0","0","1","0","0","0","268"
"111","condition_4","43","::1","4","","2020-11-16 21:36:55","13","mouseout","0_1","0_1","0_0","a0","2560","217","7","null","null","0.875","8","1","0","0","0","217","0","0","0"
"111","condition_4","43","::1","4","","2020-11-16 21:36:55","13","mouseout","0_1","0_1","0_0","b0","2777","233","8","null","null","1","8","0","0","0","1","0","0","0","233"
"112","condition_4","43","::1","4","","2020-11-16 21:37:02","14","mouseout","0_1","0_1","0_0","a0","772","301","1","null","null","0.33333333333333","3","1","0","0","0","301","0","0","0"
"112","condition_4","43","::1","4","","2020-11-16 21:37:02","14","mouseout","0_1","0_1","0_0","a1","1073","217","2","null","null","0.66666666666667","3","0","0","1","0","0","0","217","0"
"112","condition_4","43","::1","4","","2020-11-16 21:37:02","14","mouseout","0_1","0_1","0_0","b1","1290","1352","3","null","null","1","3","0","1","0","0","0","1352","0","0"
"113","condition_4","43","::1","4","","2020-11-16 21:37:08","15","mouseout","0_1","0_1","0_0","a0","1233","133","1","null","null","0.5","2","1","0","0","0","133","0","0","0"
