"id","expname","subject","ip","condnum","choice","submitted","round","roword","colord","div","addvar","adddata","maxcount","f_a0","f_b1","f_a1","f_b0","t_a0","t_b1","t_a1","t_b0"
"93","condition_4","35","::1","4","","2020-11-16 19:10:58","23","0_1","0_1","1","null","null","2","0","1","1","0","0","483","116","0"
"94","condition_4","35","::1","4","","2020-11-16 19:11:03","24","0_1","0_1","1","null","null","1","0","0","0","1","0","0","0","110"
"99","condition_4","43","::1","4","","2020-11-16 21:35:41","1","0_1","0_1","1","null","null","1","0","0","0","1","0","0","0","284"
"100","condition_4","43","::1","4","","2020-11-16 21:35:46","2","0_1","0_1","1","null","null","2","1","0","0","1","118","0","0","433"
"101","condition_4","43","::1","4","","2020-11-16 21:35:51","3","0_1","0_1","1","null","null","1","0","1","0","0","0","228","0","0"
"102","condition_4","43","::1","4","","2020-11-16 21:35:57","4","0_1","0_1","1","null","null","1","0","0","0","1","0","0","0","217"
"103","condition_4","43","::1","4","","2020-11-16 21:36:01","5","0_1","0_1","1","null","null","1","0","0","0","1","0","0","0","133"
"104","condition_4","43","::1","4","","2020-11-16 21:36:06","6","0_1","0_1","1","null","null","2","1","0","0","1","149","0","0","268"
"105","condition_4","43","::1","4","","2020-11-16 21:36:11","7","0_1","0_1","1","null","null","3","1","2","0","0","167","333","0","0"
"106","condition_4","43","::1","4","","2020-11-16 21:36:16","8","0_1","0_1","1","null","null","4","1","1","1","1","141","218","132","251"
"107","condition_4","43","::1","4","","2020-11-16 21:36:25","9","0_1","0_1","1","null","null","1","0","0","0","1","0","0","0","101"
"108","condition_4","43","::1","4","","2020-11-16 21:36:30","10","0_1","0_1","1","null","null","5","1","1","1","2","186","249","166","385"
"109","condition_4","43","::1","4","","2020-11-16 21:36:41","11","0_1","0_1","1","null","null","5","1","1","1","2","434","267","216","299"
"110","condition_4","43","::1","4","","2020-11-16 21:36:48","12","0_1","0_1","1","null","null","6","2","1","2","1","766","317","534","113"
"111","condition_4","43","::1","4","","2020-11-16 21:36:55","13","0_1","0_1","1","null","null","8","3","0","2","3","934","0","485","787"
"112","condition_4","43","::1","4","","2020-11-16 21:37:02","14","0_1","0_1","1","null","null","3","1","1","1","0","301","1352","217","0"
"113","condition_4","43","::1","4","","2020-11-16 21:37:08","15","0_1","0_1","1","null","null","2","1","0","0","1","133","0","0","301"
"114","condition_4","43","::1","4","","2020-11-16 21:38:51","16","0_1","0_1","1","null","null","2","1","1","0","0","283","133","0","0"
"115","condition_4","43","::1","4","","2020-11-16 21:38:56","17","0_1","0_1","1","null","null","3","1","1","0","1","166","398","0","350"
"116","condition_4","43","::1","4","","2020-11-16 21:39:01","18","0_1","0_1","1","null","null","3","1","1","1","0","133","234","435","0"
"117","condition_4","43","::1","4","","2020-11-16 21:39:07","19","0_1","0_1","1","null","null","6","2","1","2","1","334","364","408","217"
"118","condition_4","43","::1","4","","2020-11-16 21:39:13","20","0_1","0_1","1","null","null","5","2","1","1","1","320","349","182","282"
"119","condition_4","43","::1","4","","2020-11-16 21:39:18","21","0_1","0_1","1","null","null","3","1","1","1","0","149","249","134","0"
"120","condition_4","43","::1","4","","2020-11-16 21:39:24","22","0_1","0_1","1","null","null","3","1","1","0","1","217","264","0","117"
"121","condition_4","43","::1","4","","2020-11-16 21:39:29","23","0_1","0_1","1","null","null","7","1","2","1","3","150","484","150","518"
"122","condition_4","43","::1","4","","2020-11-16 21:39:35","24","0_1","0_1","1","null","null","5","1","1","2","1","284","283","334","350"
