"id","expname","subject","ip","condnum","choice","submitted","round","event","roword","colord","evttype","boxname","boxin","boxtime","counter","addvar","adddata","relcount","maxcount","f_b1","f_a1","f_a0","f_b0","t_b1","t_a1","t_a0","t_b0"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","0_1","0_1","0_0","a1","1920","101","1","null","null","0.125","8","0","1","0","0","0","101","0","0"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","0_1","0_1","0_0","a0","2021","417","2","null","null","0.25","8","0","0","1","0","0","0","417","0"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","0_1","0_1","0_0","b0","2438","299","3","null","null","0.375","8","0","0","0","1","0","0","0","299"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","0_1","0_1","0_0","b0","2805","3249","4","null","null","0.5","8","0","0","0","1","0","0","0","3249"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","0_1","0_1","0_0","b1","6054","884","5","null","null","0.625","8","1","0","0","0","884","0","0","0"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","0_1","0_1","0_0","a1","6987","733","6","null","null","0.75","8","0","1","0","0","0","733","0","0"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","0_1","0_1","0_0","a0","7720","550","7","null","null","0.875","8","0","0","1","0","0","0","550","0"
"1","condition_5","2","::1","5","","2019-04-04 11:23:11","1","mouseout","0_1","0_1","0_0","b0","8271","782","8","null","null","1","8","0","0","0","1","0","0","0","782"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseout","0_1","0_1","0_0","a0","4775","467","1","null","null","0.25","4","0","0","1","0","0","0","467","0"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseout","0_1","0_1","0_0","a1","5242","466","2","null","null","0.5","4","0","1","0","0","0","466","0","0"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseout","0_1","0_1","0_0","b1","5724","350","3","null","null","0.75","4","1","0","0","0","350","0","0","0"
"2","condition_5","2","::1","5","","2019-04-04 11:23:45","2","mouseout","0_1","0_1","0_0","b0","6074","584","4","null","null","1","4","0","0","0","1","0","0","0","584"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","mouseout","0_1","0_1","0_0","a1","1403","428","1","null","null","0.33333333333333","3","0","1","0","0","0","428","0","0"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","mouseout","0_1","0_1","0_0","a0","1849","450","2","null","null","0.66666666666667","3","0","0","1","0","0","0","450","0"
"3","condition_5","2","::1","5","","2019-04-04 11:24:14","3","mouseout","0_1","0_1","0_0","b0","2316","349","3","null","null","1","3","0","0","0","1","0","0","0","349"
"4","condition_5","2","::1","5","","2019-04-04 11:24:43","4","mouseout","0_1","0_1","0_0","b1","1404","483","1","null","null","0.25","4","1","0","0","0","483","0","0","0"
"4","condition_5","2","::1","5","","2019-04-04 11:24:43","4","mouseout","0_1","0_1","0_0","b0","1888","648","2","null","null","0.5","4","0","0","0","1","0","0","0","648"
"4","condition_5","2","::1","5","","2019-04-04 11:24:43","4","mouseout","0_1","0_1","0_0","a0","2736","468","3","null","null","0.75","4","0","0","1","0","0","0","468","0"
"4","condition_5","2","::1","5","","2019-04-04 11:24:43","4","mouseout","0_1","0_1","0_0","a1","3204","483","4","null","null","1","4","0","1","0","0","0","483","0","0"
