"id","expname","subject","ip","condnum","choice","submitted","round","event","name","value","time","addvar","adddata"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","onload","body","body","29","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","subject","random","0","32","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","order","col","0_1","32","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","order","row","0_1","32","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","events","open_close","0_0","32","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseover","a1","1x evaded amount","59","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","a1","","970","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseover","a0","10% chance","1021","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","a0","","1788","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseover","b0","Tax (40%): 720 ECU ","1788","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","b0","","2171","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseover","b1","1800 ECU","2171","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","b1","","5570","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseover","a1","1x evaded amount","5570","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","a1","","6620","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseover","a0","10% chance","6621","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","a0","","7505","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseover","b0","Tax (40%): 720 ECU ","7505","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","b0","","9054","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseover","a0","10% chance","9054","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","a0","","9103","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseover","a1","1x evaded amount","9121","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","a1","","9955","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseover","b1","1800 ECU","9971","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","b1","","10637","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseover","a1","1x evaded amount","10637","null","null"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","a1","","10770","null","null"
