"id","expname","subject","ip","condnum","choice","submitted","round","event","roword","colord","evttype","boxname","boxin","boxtime","counter","addvar","adddata","relcount","maxcount","f_c1","f_b1","f_b0","f_c0","f_a1","f_a0","t_c1","t_b1","t_b0","t_c0","t_a1","t_a0"
"34","group_1","23","::1","5","","2019-11-21 11:18:02","1","mouseout","0_1_2","0_1","0_0","b1","1192","167","1","null","null","0.33333333333333","3","0","1","0","0","0","0","0","167","0","0","0","0"
"34","group_1","23","::1","5","","2019-11-21 11:18:02","1","mouseout","0_1_2","0_1","0_0","c1","2359","315","2","null","null","0.66666666666667","3","1","0","0","0","0","0","315","0","0","0","0","0"
"34","group_1","23","::1","5","","2019-11-21 11:18:02","1","mouseout","0_1_2","0_1","0_0","b1","17309","132","3","null","null","1","3","0","1","0","0","0","0","0","132","0","0","0","0"
"35","group_1","23","::1","5","","2019-11-21 11:19:31","2","mouseout","0_1_2","0_1","0_0","c1","2505","365","1","null","null","0.5","2","1","0","0","0","0","0","365","0","0","0","0","0"
"35","group_1","23","::1","5","","2019-11-21 11:19:31","2","mouseout","0_1_2","0_1","0_0","a0","53305","265","2","null","null","1","2","0","0","0","0","0","1","0","0","0","0","0","265"
"36","group_1","23","::1","5","","2019-11-21 11:19:51","3","mouseout","0_1_2","0_1","0_0","c1","7047","214","1","null","null","1","1","1","0","0","0","0","0","214","0","0","0","0","0"
"37","group_1","23","::1","5","","2019-11-21 11:20:03","4","mouseout","0_1_2","0_1","0_0","c1","1431","866","1","null","null","0.2","5","1","0","0","0","0","0","866","0","0","0","0","0"
"37","group_1","23","::1","5","","2019-11-21 11:20:03","4","mouseout","0_1_2","0_1","0_0","b1","3613","384","2","null","null","0.4","5","0","1","0","0","0","0","0","384","0","0","0","0"
"37","group_1","23","::1","5","","2019-11-21 11:20:03","4","mouseout","0_1_2","0_1","0_0","c1","4297","267","3","null","null","0.6","5","1","0","0","0","0","0","267","0","0","0","0","0"
"37","group_1","23","::1","5","","2019-11-21 11:20:03","4","mouseout","0_1_2","0_1","0_0","c0","5164","383","4","null","null","0.8","5","0","0","0","1","0","0","0","0","0","383","0","0"
"37","group_1","23","::1","5","","2019-11-21 11:20:03","4","mouseout","0_1_2","0_1","0_0","c0","6147","116","5","null","null","1","5","0","0","0","1","0","0","0","0","0","116","0","0"
"38","group_1","23","::1","5","","2019-11-21 11:20:09","5","mouseout","0_1_2","0_1","0_0","c1","854","416","1","null","null","0.5","2","1","0","0","0","0","0","416","0","0","0","0","0"
"38","group_1","23","::1","5","","2019-11-21 11:20:09","5","mouseout","0_1_2","0_1","0_0","a1","1322","115","2","null","null","1","2","0","0","0","0","1","0","0","0","0","0","115","0"
"39","group_1","23","::1","5","","2019-11-21 11:20:51","6","mouseout","0_1_2","0_1","0_0","c1","36045","233","1","null","null","1","1","1","0","0","0","0","0","233","0","0","0","0","0"
"40","group_1","23","::1","5","","2019-11-21 11:21:02","7","mouseout","0_1_2","0_1","0_0","c1","969","183","1","null","null","0.5","2","1","0","0","0","0","0","183","0","0","0","0","0"
"40","group_1","23","::1","5","","2019-11-21 11:21:02","7","mouseout","0_1_2","0_1","0_0","a1","4870","231","2","null","null","1","2","0","0","0","0","1","0","0","0","0","0","231","0"
"41","group_1","23","::1","5","","2019-11-21 11:21:18","8","mouseout","0_1_2","0_1","0_0","c1","10023","482","1","null","null","0.5","2","1","0","0","0","0","0","482","0","0","0","0","0"
"41","group_1","23","::1","5","","2019-11-21 11:21:18","8","mouseout","0_1_2","0_1","0_0","b1","10723","331","2","null","null","1","2","0","1","0","0","0","0","0","331","0","0","0","0"
"42","group_1","23","::1","5","","2019-11-21 11:21:25","9","mouseout","0_1_2","0_1","0_0","c1","1337","133","1","null","null","0.5","2","1","0","0","0","0","0","133","0","0","0","0","0"
"42","group_1","23","::1","5","","2019-11-21 11:21:25","9","mouseout","0_1_2","0_1","0_0","c0","1685","183","2","null","null","1","2","0","0","0","1","0","0","0","0","0","183","0","0"
