"id","expname","subject","ip","condnum","choice","submitted","round","roword","colord","div","addvar","adddata","maxcount","f_c1","f_b1","f_b0","f_c0","f_a1","f_a0","t_c1","t_b1","t_b0","t_c0","t_a1","t_a0"
"34","group_1","23","::1","5","","2019-11-21 11:18:02","1","0_1_2","0_1","1","null","null","3","1","2","0","0","0","0","315","299","0","0","0","0"
"35","group_1","23","::1","5","","2019-11-21 11:19:31","2","0_1_2","0_1","1","null","null","2","1","0","0","0","0","1","365","0","0","0","0","265"
"36","group_1","23","::1","5","","2019-11-21 11:19:51","3","0_1_2","0_1","1","null","null","1","1","0","0","0","0","0","214","0","0","0","0","0"
"37","group_1","23","::1","5","","2019-11-21 11:20:03","4","0_1_2","0_1","1","null","null","5","2","1","0","2","0","0","1133","384","0","499","0","0"
"38","group_1","23","::1","5","","2019-11-21 11:20:09","5","0_1_2","0_1","1","null","null","2","1","0","0","0","1","0","416","0","0","0","115","0"
"39","group_1","23","::1","5","","2019-11-21 11:20:51","6","0_1_2","0_1","1","null","null","1","1","0","0","0","0","0","233","0","0","0","0","0"
"40","group_1","23","::1","5","","2019-11-21 11:21:02","7","0_1_2","0_1","1","null","null","2","1","0","0","0","1","0","183","0","0","0","231","0"
"41","group_1","23","::1","5","","2019-11-21 11:21:18","8","0_1_2","0_1","1","null","null","2","1","1","0","0","0","0","482","331","0","0","0","0"
"42","group_1","23","::1","5","","2019-11-21 11:21:25","9","0_1_2","0_1","1","null","null","2","1","0","0","1","0","0","133","0","0","183","0","0"
"43","group_1","23","::1","5","","2019-11-21 11:21:42","10","0_1_2","0_1","1","null","null","2","1","1","0","0","0","0","248","216","0","0","0","0"
"44","group_1","23","::1","5","","2019-11-21 11:21:48","11","0_1_2","0_1","1","null","null","1","1","0","0","0","0","0","382","0","0","0","0","0"
"45","group_1","23","::1","5","","2019-11-21 11:21:56","12","0_1_2","0_1","1","null","null","1","0","0","0","0","1","0","0","0","0","0","133","0"
"46","group_1","23","::1","5","","2019-11-21 11:22:03","13","0_1_2","0_1","1","null","null","3","1","0","1","0","1","0","150","0","134","0","333","0"
"47","group_1","23","::1","5","","2019-11-21 11:22:09","14","0_1_2","0_1","1","null","null","2","1","0","0","0","1","0","199","0","0","0","150","0"
"48","group_1","23","::1","5","","2019-11-21 11:22:16","15","0_1_2","0_1","1","null","null","2","1","0","0","0","1","0","316","0","0","0","366","0"
"49","group_1","23","::1","5","","2019-11-21 11:22:23","16","0_1_2","0_1","1","null","null","1","0","0","0","1","0","0","0","0","0","200","0","0"
"51","group_1","23","::1","5","","2019-11-21 11:22:36","18","0_1_2","0_1","1","null","null","2","1","1","0","0","0","0","101","182","0","0","0","0"
"52","group_1","29","::1","5","","2019-11-22 10:33:13","1","0_1_2","0_1","1","null","null","4","0","1","1","1","1","0","0","432","232","151","350","0"
"53","group_1","29","::1","5","","2019-11-22 10:33:44","2","0_1_2","0_1","1","null","null","3","1","1","0","0","1","0","133","268","0","0","200","0"
"54","group_1","29","::1","5","","2019-11-22 10:33:54","3","0_1_2","0_1","1","null","null","2","0","0","1","1","0","0","0","0","183","933","0","0"
"57","group_1","32","::1","5","","2019-11-28 11:25:48","2","0_1_2","0_1","1","null","null","9","1","1","2","1","2","2","716","515","-33810","483","1280","1669"
"58","group_1","32","::1","5","","2019-11-28 11:25:58","3","0_1_2","0_1","1","null","null","8","1","2","2","0","2","1","333","1035","732","0","983","500"
"59","group_1","34","::1","5","","2019-11-28 11:33:33","1","0_1_2","0_1","1","null","null","10","0","2","2","2","2","2","0","2730","1985","898","1033","981"
"60","group_1","34","::1","5","","2019-11-28 11:33:56","2","0_1_2","0_1","1","null","null","12","1","3","4","0","2","2","366","4230","1799","0","1199","3149"
"61","group_1","34","::1","5","","2019-11-28 11:34:04","3","0_1_2","0_1","1","null","null","4","0","1","0","1","1","1","0","283","0","332","168","132"
